time,mua685nm,mua785nm,mua830nm,mua850nm,mua915nm,mua975nm,mus685nm,mus785nm,mus830nm,mus850nm,mus915nm,mus975nm,HbO2,HHb,Water,Fat
9.062,0.0006258071000000001,0.00079171712,0.00098323466,0.0011489812799999998,0.014241626399999999,0.038968383179999996,2.9983781392999997,2.9967044327,2.9988769473600003,2.99748955912,2.99933487148,2.9975196673199997,72.80011194300346,-25.122135252169826,46.598228037884766,53.40177196211523
9.092,0.00063653406,0.0007732204000000001,0.00098323466,0.0011539323799999999,0.01391689518,0.03279095952,2.9942761794,2.9972564691600003,2.9988769473600003,2.9983552947999996,2.99935598068,2.99899356534,63.68698725405403,-21.32412184874228,39.98535343883443,60.01464656116556
9.121,0.0006289304,0.00078265704,0.00097885966,0.0011489812800000003,0.013973417699999999,0.04159020766,2.9942585633,2.99726712926,2.99754678658,2.99748955912,2.99931739704,2.99746318348,76.17897503573928,-26.638386213702088,50.719025145781515,49.2809748542185
9.151,0.0006392751599999999,0.00079407528,0.00098245808,0.00115559744,0.01405555228,0.04159020766,2.9964407991999997,2.99767617644,2.9987921921400003,2.9985357097399996,2.9992206529400005,2.99746318348,76.27227408584685,-26.631852070804378,50.42038972472555,49.57961027527445
9.181,0.00063337708,0.00078115744,0.00098323466,0.00115138414,0.014236167459999999,0.0385873945,2.9942289157,2.99741826196,2.9988769473600003,2.99809567854,2.99951277218,2.99807134638,72.24427168515912,-24.88068414696429,46.15326913439759,53.846730865602424
9.211,0.0006289304,0.00078087562,0.00098323466,0.00115138414,0.01438807024,0.03614265612,2.9942585633,2.99648248054,2.9988769473600003,2.99809567854,2.9995301711400004,2.99919079548,68.97584392418298,-23.45199493431364,42.715614575690694,57.28438542430931
9.241,0.0006302151600000001,0.0007947639,0.00098065348,0.00115243768,0.0143759485,0.03447844144,2.99543873874,2.9972048596599996,2.9978846356799997,2.99805190014,2.9992137960400003,2.99904996908,66.61376000436577,-22.44101772456396,40.7337381314006,59.2662618685994
9.271,0.00063653406,0.0007866160599999999,0.0009813807800000001,0.0011489812800000003,0.014317713400000001,0.035010988800000004,2.9942761794,2.99579834634,2.9985565571,2.99748955912,2.9995770655,2.9989833782199997,67.28371739247349,-22.73860014572223,41.551453779187796,58.44854622081221
9.302,0.00064025184,0.0007904707800000001,0.00097885966,0.00115001454,0.01425385064,0.03779909838,2.99715765778,2.99653949942,2.99754678658,2.99777426376,2.9992341327600003,2.9987444781,71.14003986692109,-24.392633186143726,45.13876266397976,54.86123733602024
9.332,0.0006302151600000001,0.0007739895400000001,0.00098323466,0.0011489812799999998,0.01437056592,0.03554321304,2.99543873874,2.99646223152,2.9988769473600003,2.99748955912,2.99908476238,2.9982347753199994,68.10313808978971,-23.087382028274725,42.042451271110856,57.95754872888915
9.362,0.00063337708,0.00076510152,0.0009803332400000002,0.0011489812800000003,0.01438807024,0.03397329756,2.9942289157,2.9976936504200005,2.99792703312,2.99748955912,2.9995301711400004,2.9992709761199996,65.89774354881587,-22.143695791028485,40.08597318373086,59.91402681626914
9.392,0.0006312312800000001,0.00078265704,0.00098065348,0.0011489812799999998,0.01391584414,0.03320079936,2.9956857052400006,2.99726712926,2.99788463568,2.99748955912,2.9991431628200003,2.99907797458,64.26782400821635,-21.576836707935545,40.50425784497753,59.49574215502247
9.422,0.00063480734,0.00079335816,0.00097885966,0.0011500145400000002,0.014534486020000001,0.0350286969,2.9945157268600004,2.99765620664,2.99754678658,2.99777426376,2.9996163246600003,2.9984236398000004,67.56369272704771,-22.79634155330161,40.941885491974396,59.058114508025604
9.452,0.00063505842,0.0007732204000000001,0.00098323466,0.0011489812800000003,0.01412161382,0.03787106648,2.9959939968800002,2.9972564691600003,2.9988769473600003,2.99748955912,2.99899521442,2.99848982134,71.09305091165533,-24.424741065268734,45.653473234853195,54.3465267651468
9.482,0.00063123128,0.0007940752800000001,0.00098245808,0.0011500145400000002,0.014212397679999999,0.03371716976,2.99568570524,2.9976761764399997,2.9987921921400003,2.99777426376,2.99973508506,2.9979843851599997,65.34684234393445,-21.946471599197572,40.275844538693185,59.72415546130681
9.511,0.00063505842,0.00078265704,0.00098065348,0.00115001454,0.01438807024,0.03499108390000001,2.9959939968800002,2.99726712926,2.9978846356799997,2.99777426376,2.9995301711400004,2.99784346582,67.33858407073429,-22.746101291727832,41.32084724311726,58.679152756882736
9.542,0.00063653406,0.0007884454000000001,0.00098065348,0.00115243768,0.01409419692,0.035074580480000006,2.9942761794,2.99522292838,2.9978846356799997,2.99805190014,2.9988550794999997,2.99777452924,67.11732955980075,-22.72910381803071,42.29975221091094,57.700247789089076
9.571,0.00063653406,0.0008013970799999999,0.00098138078,0.0011489812800000003,0.01409419692,0.03499300856,2.9942761794,2.99643663596,2.9985565571,2.99748955912,2.9988550794999997,2.99901692406,67.00336329603763,-22.67493360801131,42.19864903413504,57.80135096586497
